S C:\Onyx_Workspace> python train_onyx.py
🧠 Loading existing weights for refinement...
🚀 Starting Sliding Micro-Drill. Data Size: 49152 bytes.
🎯 Targeting zero-error at Byte 257 transition.
Epoch 3 | Byte 30500/48896 | Loss: 0.0022773973
Epoch 3 | Byte 31000/48896 | Loss: 0.0197175704
Epoch 3 | Byte 31500/48896 | Loss: 0.0240780022
Epoch 3 | Byte 32000/48896 | Loss: 0.0034555190
Epoch 3 | Byte 32500/48896 | Loss: 0.0187112633
Epoch 3 | Byte 33000/48896 | Loss: 0.0044859890
Epoch 3 | Byte 33500/48896 | Loss: 0.0007526825
Epoch 3 | Byte 34000/48896 | Loss: 0.0188733786
Epoch 3 | Byte 34500/48896 | Loss: 0.0145161683
Epoch 3 | Byte 35000/48896 | Loss: 0.0023545451
Epoch 3 | Byte 35500/48896 | Loss: 0.0002926048
Epoch 3 | Byte 36000/48896 | Loss: 0.0080105243
Epoch 3 | Byte 36500/48896 | Loss: 0.0158379003
Epoch 3 | Byte 37000/48896 | Loss: 0.0032347944
Epoch 3 | Byte 37500/48896 | Loss: 0.0024159991
Epoch 3 | Byte 38000/48896 | Loss: 0.0049676835
Epoch 3 | Byte 38500/48896 | Loss: 0.0081588384
Epoch 3 | Byte 39000/48896 | Loss: 0.0030232177
Epoch 3 | Byte 39500/48896 | Loss: 0.0002159662
Epoch 3 | Byte 40000/48896 | Loss: 0.0051368442
Epoch 3 | Byte 40500/48896 | Loss: 0.0021725537
Epoch 3 | Byte 41000/48896 | Loss: 0.0062006791
Epoch 3 | Byte 41500/48896 | Loss: 0.0059719970
Epoch 3 | Byte 42000/48896 | Loss: 0.0086223260
Epoch 3 | Byte 42500/48896 | Loss: 0.0009640607
Epoch 3 | Byte 43000/48896 | Loss: 0.0004175150
Epoch 3 | Byte 43500/48896 | Loss: 0.0044794097
Epoch 3 | Byte 44000/48896 | Loss: 0.0191092268
Epoch 3 | Byte 44500/48896 | Loss: 0.0002746822
Epoch 3 | Byte 45000/48896 | Loss: 0.0034680157
Epoch 3 | Byte 45500/48896 | Loss: 0.0018005446
Epoch 3 | Byte 46000/48896 | Loss: 0.0011971085
Epoch 3 | Byte 46500/48896 | Loss: 0.0085119987
Epoch 3 | Byte 47000/48896 | Loss: 0.0012176833
Epoch 3 | Byte 47500/48896 | Loss: 0.0005205768
Epoch 3 | Byte 48000/48896 | Loss: 0.0071346355
Epoch 3 | Byte 48500/48896 | Loss: 0.0010443851
💾 Sliding Pass 3 Complete. Avg Loss: 0.0066061980
Epoch 4 | Byte 0/48896 | Loss: 0.0030760414
Epoch 4 | Byte 500/48896 | Loss: 0.0004819245
Epoch 4 | Byte 1000/48896 | Loss: 0.0003747465
Epoch 4 | Byte 1500/48896 | Loss: 0.0112952702
Epoch 4 | Byte 2000/48896 | Loss: 0.0033788471
Epoch 4 | Byte 2500/48896 | Loss: 0.0084456336
Epoch 4 | Byte 3000/48896 | Loss: 0.0026817338
Epoch 4 | Byte 3500/48896 | Loss: 0.0095945643
Epoch 4 | Byte 4000/48896 | Loss: 0.0009164459
Epoch 4 | Byte 4500/48896 | Loss: 0.0003892638
Epoch 4 | Byte 5000/48896 | Loss: 0.0108173518
Epoch 4 | Byte 5500/48896 | Loss: 0.0009573789
Epoch 4 | Byte 6000/48896 | Loss: 0.0038683866
Epoch 4 | Byte 6500/48896 | Loss: 0.0003544947
Epoch 4 | Byte 7000/48896 | Loss: 0.0005073651
Epoch 4 | Byte 7500/48896 | Loss: 0.0069663543
Epoch 4 | Byte 8000/48896 | Loss: 0.0094422819
Epoch 4 | Byte 8500/48896 | Loss: 0.0017320954
Epoch 4 | Byte 9000/48896 | Loss: 0.0010562914
Epoch 4 | Byte 9500/48896 | Loss: 0.0085532842
Epoch 4 | Byte 10000/48896 | Loss: 0.0184611492
Epoch 4 | Byte 10500/48896 | Loss: 0.0049267253
Epoch 4 | Byte 11000/48896 | Loss: 0.0204261430
Epoch 4 | Byte 11500/48896 | Loss: 0.0154463509
Epoch 4 | Byte 12000/48896 | Loss: 0.0005265597
Epoch 4 | Byte 12500/48896 | Loss: 0.0007601501
Epoch 4 | Byte 13000/48896 | Loss: 0.0044247261
Epoch 4 | Byte 13500/48896 | Loss: 0.0003307582
Epoch 4 | Byte 14000/48896 | Loss: 0.0113612404
Epoch 4 | Byte 14500/48896 | Loss: 0.0078842547
Epoch 4 | Byte 15000/48896 | Loss: 0.0082918042
Epoch 4 | Byte 15500/48896 | Loss: 0.0132569578
Epoch 4 | Byte 16000/48896 | Loss: 0.0002438433
Epoch 4 | Byte 16500/48896 | Loss: 0.0060957298
Epoch 4 | Byte 17000/48896 | Loss: 0.0096458709
Epoch 4 | Byte 17500/48896 | Loss: 0.0050465502
Epoch 4 | Byte 18000/48896 | Loss: 0.0022260672
Epoch 4 | Byte 18500/48896 | Loss: 0.0007386599
Epoch 4 | Byte 19000/48896 | Loss: 0.0071673254
Epoch 4 | Byte 19500/48896 | Loss: 0.0084663909
Epoch 4 | Byte 20000/48896 | Loss: 0.0199091043
Epoch 4 | Byte 20500/48896 | Loss: 0.0079255458
Epoch 4 | Byte 21000/48896 | Loss: 0.0128669562
Epoch 4 | Byte 21500/48896 | Loss: 0.0001572387
Epoch 4 | Byte 22000/48896 | Loss: 0.0031073848
Epoch 4 | Byte 22500/48896 | Loss: 0.0023506335
Epoch 4 | Byte 23000/48896 | Loss: 0.0047898921
Epoch 4 | Byte 23500/48896 | Loss: 0.0014820314
Epoch 4 | Byte 24000/48896 | Loss: 0.0077938386
Epoch 4 | Byte 24500/48896 | Loss: 0.0030017970
Epoch 4 | Byte 25000/48896 | Loss: 0.0025211424
Epoch 4 | Byte 25500/48896 | Loss: 0.0042776796
Epoch 4 | Byte 26000/48896 | Loss: 0.0085814549
Epoch 4 | Byte 26500/48896 | Loss: 0.0098107299
Epoch 4 | Byte 27000/48896 | Loss: 0.0025511952
Epoch 4 | Byte 27500/48896 | Loss: 0.0063095111
Epoch 4 | Byte 28000/48896 | Loss: 0.0169193652
Epoch 4 | Byte 28500/48896 | Loss: 0.0007447574
Epoch 4 | Byte 29000/48896 | Loss: 0.0033710732
Epoch 4 | Byte 29500/48896 | Loss: 0.0102468235
Epoch 4 | Byte 30000/48896 | Loss: 0.0032745723
Epoch 4 | Byte 30500/48896 | Loss: 0.0024327913
Epoch 4 | Byte 31000/48896 | Loss: 0.0172970314
Epoch 4 | Byte 31500/48896 | Loss: 0.0209204834
